Year,Type,Source,Text,Polarity,Subjectivity
2017,SPOK,"Fox: On The Record: Baier
","refused to cooperate with detainer requests from immigration and customs enforcement. Meaning, illegal immigrants accused or convicted misdemeanor or a felony are shielded from deportation because there's nothing",-0.5,0.5
2017,SPOK,"Fox: O'Reilly Factor
","wall, as you said. And he asked him about the millions of illegal immigrants that allegedly, according to Donald Trump, tried to vote. That's fine",-0.061111111111111095,0.3666666666666667
2017,SPOK,"Fox: O'Reilly Factor
","ask, why he brings up that millions, as many as five million illegal immigrants voted in order to prove that if they hadn't voted, he would have",0.0,0.5
2017,SPOK,"Fox: O'Reilly Factor
",", for whom immigration is totally symbolism. Anything that seems to be opposing illegal immigrants is seen as an issue that they can not use politically. The Democrats have",-0.16666666666666666,0.45
2017,MAG,"MarketWatch
","won more votes than Democratic nominee Hillary Clinton if 3 million to 5 million illegal immigrants had not cast ballots, according to the people familiar with the conversation.  # ",0.125,0.5
2017,MAG,"Salon
",#  Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!  #  Agreeing to,-0.484375,0.5
2017,MAG,"Salon
","1,250 highly vetted refugees is not the same thing as accepting "" thousands of illegal immigrants. "" Trump may speak at a third-grade level, but he seems to have",-0.11333333333333333,0.38833333333333336
2017,MAG,"Fox News
",came out in droves hailing Trump's win and calling for further crackdowns on illegal immigrants and other groups. Those forces -- along with more traditional and less controversial demonstrators,0.1322916666666667,0.5052083333333334
2017,MAG,"Fox News
",     4182035  Critics rip University of California for favoring illegal immigrants over out-of-state Americans  #  A California university's decision to put a limit on the,-0.5,0.5
2017,MAG,"Fox News
",the number of American citizens it enrolls -- while placing no such restrictions on illegal immigrants who want to attend the school -- is drawing sharp criticism from education activists.,-0.15625,0.4375
2017,MAG,"Fox News
","body comprised of out-of-state students. It's estimated that there are roughly 3,700 illegal immigrants studying in the UC system.  Related Image  #  Expand / Collapse  #  The",-0.19999999999999998,0.43333333333333335
2017,MAG,"Fox News
","First lady Melania Trump will sit with the families of three people killed by illegal immigrants as her husband, President Trump, delivers his first address to a joint session",-0.05,0.29166666666666663
2017,MAG,"Fox News
","#  The move seemed designed to counter the slew of Democrats who were hosting illegal immigrants as their guests, saying they wanted to put a human face on Mr. Trump",-0.25,0.3
2017,MAG,"Fox News
",tried to give the victims of illegal immigrant crime the same profile as the illegal immigrants themselves.  #  The White House said Mrs. Trump will host Jessica Davis and Susan,-0.25,0.28125
2017,MAG,"RollingStone.com
","in San Francisco, and she's helping to plan a show to benefit illegal immigrants (her father was born in Mexico and came to the U.S. at age two",-0.5,0.5
2017,MAG,"Slate Magazine
","going to strip federal grant money from the sanctuary cities and states that harbor illegal immigrants, "" White House Press Secretary Sean Spicer said at his daily briefing. """,-0.16666666666666666,0.16666666666666666
2017,MAG,"Slate Magazine
","up to deputize cities as the foot soldiers in his fight to round up illegal immigrants. But to do so without help from Congress, he must first rely on",-0.15,0.41111111111111115
2017,MAG,"Fox News
",#  He reportedly is open to considering a pathway to legal status for some illegal immigrants. But it's unclear how far Trump might press the issue in his address,-0.049999999999999996,0.55
2017,MAG,"Salon
","offer any practical solutions. Consider the central narrative of Trump's campaign: Illegal immigrants are flooding our shores and stealing American jobs, and all the quality manufacturing jobs",-0.16666666666666666,0.25
2017,MAG,"Fox News
","Mother of MD High School Student' Absolutely Shocked' over Alleged Rape by Illegal Immigrants  #  The parent of a Maryland high school student said Tuesday she was "" absolutely",-0.12999999999999998,0.5633333333333334
2017,MAG,"Fox News
","I want to hear, "" she said. "" He used the word illegal immigrants. He wanted to know why these men were here with our children. """,-0.5,0.5
2017,MAG,"Mother Jones
",wiretapping him. He lied about 3 (or 5) million votes from illegal immigrants causing him to lose the popular vote. He lied about London's mayor because,0.04999999999999999,0.7
2017,MAG,"Mother Jones
","breast cancer, HIV doesn't cause AIDS, vaccines cause autism, and illegal immigrants caused a leprosy outbreak in the United States.  #  AAPS was the key source",-0.25,0.75
2017,MAG,"Slate Magazine
",", "" Public reports routinely state great amounts of crime are being committed by illegal immigrants. ""  #  This is not true. Study after study shows undocumented immigrants commit",0.031250000000000014,0.4916666666666667
2017,NEWS,"New York Post
",-- but never showed up to pick up his 4-year-old daughter.  #  Ten illegal immigrants with ties to the murderous MS-13 gang were arrested last month and charged with those,-0.16666666666666666,0.18888888888888888
2017,NEWS,"Washington Times
","Obama administration policies that had directed agents to target only a small percentage of illegal immigrants: those with serious criminal records or recent arrivals.  #  Instead, Mr. Trump",-0.24722222222222223,0.561111111111111
2017,NEWS,"Washington Times
","said her case showed that the Trump administration was changing tactics, targeting non-criminal illegal immigrants whom Mr. Obama had protected. They fear much worse is ahead and said the",-0.45,0.55
2017,NEWS,"Washington Times
",".  #  Activists warned of reports of checkpoints set up to try to spot illegal immigrants in the Southeast, saying they had received calls on their hotline.  #  ICE",-0.5,0.5
2017,NEWS,"Washington Times
",same activists were furious at Mr. Obama after a series of raids to arrest illegal immigrants who were part of the surge from Central America. Those raids nabbed 121 migrants,-0.1375,0.21875
2017,NEWS,"Washington Post
",": "" Our veterans, in many cases, are being treated worse than illegal immigrants. ""  #  Trump brought up injured soldiers while criticizing NFL players kneeling during the",-0.13333333333333333,0.5333333333333333
2017,NEWS,"Charlotte Observer
","must secure our border, eliminate sanctuary cities, and end efforts to shield illegal immigrants from the rule of law. ""  #  U.S. Rep. Alma Adams, a Democrat",-0.04999999999999999,0.55
2017,NEWS,"OCRegister
",", 2007. Demonstrators demanding a path to citizenship for an estimated 12 million illegal immigrants rallied around the nation Tuesday, hoping to spur Congress to act before the looming",-0.5,0.5
2017,NEWS,"Chicago Sun-Times
","has said Republicans are concerned the "" blanket prohibition could result in leaving criminal illegal immigrants, including those accused of violent crimes, on the streets. "" The conservative",-0.5666666666666668,0.6833333333333332
2017,NEWS,"Washington Times
","of dollars in Justice Department grants if they continue to thwart efforts to deport illegal immigrants.  #  And counties and cities that have taken money in the past, despite",-0.375,0.375
2017,NEWS,"Washington Times
",".  #  Francisco Sanchez, the man accused of her killing, was an illegal immigrants who had been deported five times and convicted of seven felonies, but who'd",-0.5,0.5
2017,NEWS,"Washington Times
","week, showed a convicted arsonist and a murder suspect were among the 200 illegal immigrants released.  #  Mr. Sessions on Monday said his department will issue some $4 billion",-0.5,0.5
2017,NEWS,"Washington Times
","), which pays for some of the costs local communities incur for holding illegal immigrants in prison or jail.  #  San Francisco and several other jurisdictions have sued,",-0.145,0.175
2017,NEWS,"Washington Times
","help from local police and sheriffs, who are often the first to encounter illegal immigrants in their communities.  #  The Obama administration, trying to appease myriad local governments",-0.0625,0.20833333333333331
2017,NEWS,"Washington Times
",officers.  #  Relatively few jurisdictions object to the notification requirement. But holding illegal immigrants beyond the time they'd normally be released is a bigger problem for many cities,-0.009999999999999986,0.45
2017,NEWS,"New York Post
","laws. ""  #  "" We don't have enough ways of vetting for illegal immigrants coming into the country. There is no way to track these people. """,-0.25,0.5
2017,NEWS,"Arizona Daily Star
",", it would be worth it versus what it costs to take care of illegal immigrants. ""  #  Improved security wouldn't just benefit U.S. residents, Mehlman said.",-0.1,0.3
2017,NEWS,"The Boston Globe
","Nancy? today about keeping government open and working. Problem is they want illegal immigrants flooding into our Country unchecked, are weak on Crime and want to substantially RAISE",-0.2916666666666667,0.5416666666666666
2017,NEWS,"The Boston Globe
","including the Supreme Court, rebuilding the military, building the wall, stopping illegal immigrants from coming into the country, "" he said.  #  BostonGlobe.com complimentary digital access",-0.075,0.275
2017,NEWS,"Washington Times
",runs counter to the argument made by Democrats and some local police chiefs that illegal immigrants refuse to report crimes because they fear entanglement with federal deportation agents.  #  Democrats,-0.25,0.25
2017,NEWS,"Washington Times
",", which in 2011 pioneered blanket sanctuary policies, doesn't want to protect illegal immigrants but is too poor to assist federal agents.  #  "" Come on, Uncle",-0.45,0.55
2017,NEWS,"Los Angeles Times
","tried to give the victims of illegal immigrant crime the same profile as the illegal immigrants themselves, "" notes this piece.  #  Indeed, throughout the campaign Trump told",-0.3333333333333333,0.375
2017,NEWS,"Washington Times
",">  #  Homeland Security has built up a backlog of more than 1.2 million illegal immigrants who it believes have overstayed visas but managed to arrest only about 3,400 of them",-0.0125,0.5
2017,NEWS,"Chicago Tribune
","in the restaurant industry, it was just a normal thing that there were illegal immigrants in the kitchen, "" he said. "" At the end of the day",-0.175,0.575
2017,NEWS,"Arizona Daily Star
","4197395  Illegal crossers being snatched for ransom on O'odham land  #  Kidnappers see illegal immigrants as "" walking bags of money, "" says a federal agent in Sells.",-0.5,0.5
2017,NEWS,"Arizona Daily Star
","of money, "" says a federal agent in Sells.  #  When four illegal immigrants walked up to a man running a carne asada cart in Sells on Jan. 25",-0.5,0.5
2017,NEWS,"Arizona Daily Star
",Duran each were charged with one count of kidnapping and one count of transporting illegal immigrants.  #  Kidnapping migrants often is a crime of opportunity committed by people who are,-0.5,0.5
2017,NEWS,"Arizona Daily Star
","for their clients.  #  Authorities find out about kidnapping cases only when the illegal immigrants report the incidents, which means kidnappings near the border likely occur more often than",0.019999999999999997,0.6799999999999999
