Year,Type,Source,Text,Polarity,Subjectivity
2015,SPOK,"CNN: CNN Newsroom
","the Federal Government and Local Officials. FREDRICKA# All right, the arrest of an undocumented immigrant for the killing of a San Francisco woman has sparked new debate over so",0.09301948051948052,0.24756493506493504
2015,SPOK,"CNN: CNN Newsroom
",Government employees will help the federal government find or detain America has estimated 11 million undocumented immigrant. Many are blaming San Francisco sanctuary status for the death of Kate Steinle,0.5,0.5
2015,SPOK,"CNN: CNN Newsroom
",but the killing has sparked a national debate over immigration reform. Lopez-Sanchez is an undocumented immigrant who has been deported from the U.S. five times. It would have been,0.0,0.0
2015,SPOK,"CNN: CNN Newsroom
",". In 2013 her husband was locked up and authorities arrested him for being an undocumented immigrant. He spent five months in a cell, was released by a judge",-0.1,0.1
2015,SPOK,"CNN: CNN Newsroom
",a strategic city in Iraq. SESAY# Donald Trump says he will deport millions of undocumented immigrant if he's elected U.S. president. It's a plan that has been,0.0,0.0
2015,NEWS,"USAToday
",Courier reported. Iowa Des Moines: Cesar Vargas' fight to become the first undocumented immigrant lawyer in New York state is on hold after an Iowa judge chose to,0.19318181818181818,0.3939393939393939
2015,NEWS,"CSMonitor
","that require police to seek to determine whether a person stopped or arrested was an undocumented immigrant, if there was a "" reasonable suspicion "" that they may be.",0.2,0.6
2014,SPOK,"PBS: PBS Newshour
","JUDY-WOODRUFF# Still to come on the "" NewsHour "": containing the recent wave of undocumented immigrant children; airstrikes and rockets light up the Middle East; Chicago faces another",0.13333333333333333,0.31666666666666665
2014,MAG,"USCatholic
","   16334 Section: inperson Undaunted by the obstacles of life as an undocumented immigrant, Ana Aguayo has become a voice for the voiceless # Shooting stars punctuated",-0.05,0.0
2014,NEWS,"NYTimes
","for "" completing a criminal conspiracy "" by placing a recently smuggled child with the undocumented immigrant parent who had hired the smugglers. Experts say it is the dual dynamics",-0.2,0.4
2014,NEWS,"Denver
","Two big reasons: An estimated 63 percent of Colorado Latino voters know an "" undocumented immigrant, "" and an additional 35 percent "" know people who have been deported",0.0,0.1
2014,NEWS,"Austin
","2012 executive order, dubbed Deferred Action for Childhood Arrivals, which delayed deportations for undocumented immigrant children, for sparking rumors that children who come to the U.S. illegally will",-0.2,0.3
2013,SPOK,"Fox: Fox News Watch
","illegally, are they not an illegal immigrant? POWERS# But they're also an undocumented immigrant, which is is what they're going to call them. So why",-0.5,0.5
2013,SPOK,"NPR: Talk Of The Nation
","THE NATION from NPR News. This email from Jenny: My husband is an undocumented immigrant who's been here for over 13 years. He's a tax-paying,",0.0,0.0
2013,MAG,"America
","our own vulnerabilities, the "" other "" in the debate--the single mother, the undocumented immigrant, the outcast of society--takes on a new, human dimension in the discussion",0.10798701298701299,0.42876623376623374
2013,NEWS,"OrangeCR
","card, Cruz can seek jobs that were previously off limits to him as an undocumented immigrant, and pursue the kind of work befitting his degree in sociology from Cal",0.21666666666666667,0.5333333333333333
2012,SPOK,"PBS_NewsHour
","Vargas, the former Washington Post reporter who revealed last year that he is an undocumented immigrant. And on tonight's edition of the PBS program "" Need to Know",0.0,0.03333333333333333
2012,SPOK,"NPR_TellMore
",on the cover of the latest Time magazine for his story about life as an undocumented immigrant in the United States. He was sent here from the Philippines to live,0.3181818181818182,0.7
2012,SPOK,"NPR_TellMore
","me. MICHEL-MARTIN: Also with us, Gaby Pacheco. She's come out as an undocumented immigrant living in the U.S. She's the coordinator of the Education Not Deportation project",0.0,0.0
2012,SPOK,"NPR: Tell Me More
","undocumented for years. Fernando Vila, Univision surveyed people on using the term versus undocumented immigrant. How did people respond? FERNANDO-VILA# Well, just because we surveyed undocumented",0.0,0.0
2012,SPOK,"NPR: Tell Me More
","'s not a crime to be a removable alien in this country. Being an undocumented immigrant is not a criminal offense in this country, so to call someone illegal",-0.18333333333333335,0.6
2012,SPOK,"NPR: Tell Me More
","why, you know, I fully support, you know, the use of undocumented immigrant and, you know, a lot of newspapers, depending on, you",0.0,0.0
2012,MAG,"USCatholic
",change another immigration rule that would help the Nunezes and many other American citizens with undocumented immigrant spouses and children. The change would allow them to stay in the United,0.125,0.2916666666666667
2012,MAG,"WashMonth
","the level of a calling. "" When was the last time you saw an undocumented immigrant talking to ABC News, or NBC, or CBS, or CNN?",0.0,0.06666666666666667
2012,MAG,"America
","As news of President Obama's plan for granting a form of immigration relief to undocumented immigrant youth flashed across our Twitter feeds, I was immediately pulled into a frenzy",0.0,0.0
2012,MAG,"America
","ended and the floodgates were opened. We are now in full-service provision mode for undocumented immigrant youth, screening for eligibility, preparing applications and assembling evidence to support claims",0.0,0.0
2012,NEWS,"NYTimes
",", that her only chance was a heart transplant, that because she was an undocumented immigrant this was nigh impossible. That her children would grow up motherless. # Last",-0.2222222222222222,0.688888888888889
2012,NEWS,"CSMonitor
","an immigrant registration document like a green card. It makes it illegal for an undocumented immigrant to work or apply for work in Arizona, and it empowers the police",-0.35,0.4
2012,NEWS,"CSMonitor
","- a sick child who now can not lose her health insurance, a young undocumented immigrant who can now avoid deportation, a gay soldier who can now serve openly",-0.04940476190476191,0.5851190476190476
2012,NEWS,"Austin
","up in La Grange and graduated from high school there. She married a fellow undocumented immigrant and moved into a mobile home next to her mother, who is now",0.1366666666666667,0.2633333333333333
